,F-measure,CMLc,CMLt,AMLc,AMLt,D,
,,,,,,,
Ballroom,,,,,,,
TCN,0.933,0.864,0.881,0.909,0.929,3.456,
BLSTM [5],0.917,0.832,0.849,0.905,0.926,3.539,
BLASTM [6],0.938,0.872,0.892,0.932,0.953,3.397,
Proposed,0.917,0.839,0.855,0.903,0.919,3.363,
,,,,,,,
Hainsworth,,,,,,,
TCN,0.874,0.755,0.795,0.882,0.93,3.518,
BLSTM [5],0.884,0.769,0.808,0.873,0.916,3.507,
BLASTM [6],0.871,0.732,0.784,0.849,0.91,3.395,
Proposed,0.882,0.773,0.812,0.877,0.924,3.422,
,,,,,,,
SMC,,,,,,,
TCN,0.543,0.315,0.432,0.462,0.632,1.574,
BLSTM [5],0.529,0.296,0.428,0.383,0.567,1.46,
BLASTM [6],0.516,0.307,0.406,0.429,0.575,1.514,
Proposed,0.538,0.315,0.431,0.457,0.625,1.562,
,,,,,,,
GTZAN,,,,,,,
TCN,0.843,0.695,0.715,0.889,0.914,3.096,
BLSTM [5],0.864,0.75,0.768,0.901,0.927,3.071,
BLASTM [6],0.856,0.716,0.744,0.876,0.919,3.019,
Proposed (8-fold),0.863,0.743,0.767,0.888,0.92,3.08,<-- NOTE: THIS IS NO ENSEMBLE!
Proposed (ensemble),-,-,-,-,-,-,
,,,,,,,
Beatles,,,,,,,
Proposed,0.916,0.764,0.836,0.822,0.897,3.002,
,,,,,,,
Robbie Williams,,,,,,,
Proposed,0.903,0.75,0.786,0.84,0.899,3.194,
